InNum,CallDateTime,Address,AptLot,geox,geoy,ExtNatureDisplayName,Report,PolArea,DOW,Hour
2021218051,"8/29/2021 10:07:13 AM","3100 I70 DR SE","          ",1700227.25,1138613.13,"911 CHECKS",,"80N ",Sunday,10
2021218048,"8/29/2021 9:58:38 AM","3507 HEDGEWOOD CT","          ",1672127.13,1126895.38,LARCENY,,"50W ",Sunday,09
2021218047,"8/29/2021 9:58:20 AM","2000-107 W BUSINESS LOOP 70","          ",1677880,1141314.13,"KEEP THE PEACE",,"10W ",Sunday,09
2021218045,"8/29/2021 9:49:28 AM","1327 GODAS DR","          ",1709802.75,1140466.63,DISTURBANCE,,"40E ",Sunday,09
2021218041,"8/29/2021 9:43:50 AM","902 RANGE LINE ST","          ",1690288.88,1138604,"CHECK AREA",,"20E ",Sunday,09
2021218030,"8/29/2021 9:14:02 AM","WESTWOOD AVE/MAUPIN RD","          ",1684291,1134686.63,"911 CHECKS",,"50E ",Sunday,09
2021218026,"8/29/2021 9:06:09 AM","204-H PEACH WAY","          ",1686665.5,1118412.5,"LAW ALARM",,"60E ",Sunday,09
2021218022,"8/29/2021 8:54:34 AM","1105 MARCASSIN DR","          ",1711397.63,1130136.13,"911 CHECKS",,"80N ",Sunday,08
2021218012,"8/29/2021 8:43:17 AM","LARCH CT/TUPELO PL","          ",1690943.13,1141082.88,"911 CHECKS",,"30S ",Sunday,08
2021218011,"8/29/2021 8:43:00 AM","11300 S AIRPORT DR","          ",1719733.38,1086570.63,"CHECK AREA",,"80A ",Sunday,08
2021218008,"8/29/2021 8:42:20 AM","11300 S AIRPORT DR","          ",1719733.38,1086570.63,"CHECK AREA",,"80A ",Sunday,08
2021218007,"8/29/2021 8:42:00 AM","11300 S AIRPORT DR","          ",1719733.38,1086570.63,"CHECK AREA",,"80A ",Sunday,08
2021218006,"8/29/2021 8:41:31 AM","11300 S AIRPORT DR","          ",1719733.38,1086570.63,"ASSIST CITIZEN",,"80A ",Sunday,08
2021218000,"8/29/2021 8:37:52 AM","2533 BERNADETTE DR","          ",1675498.13,1141085.38,TRESPASSING,,"10W ",Sunday,08
2021217987,"8/29/2021 8:11:19 AM","1255 I70 W","          ",1682188.25,1140541.13,"KEEP THE PEACE",,"10W ",Sunday,08
2021217986,"8/29/2021 8:10:00 AM","1613-2 HINKSON AVE","          ",1692929.13,1137433.5,"911 CHECKS",,"70E ",Sunday,08
2021217985,"8/29/2021 8:06:52 AM","1201-A GRINDSTONE PKWY","          ",1690399.25,1121329.75,"911 CHECKS",,"60E ",Sunday,08
