"Name","Team","Pos","Inn","rSZ","rCERA","rSB","rGDP","rARM","rGFP","rPM","rTS","DRS","BIZ","Plays","RZR","OOZ","FSR","FRM","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def","playerid"
"Sean Murphy","OAK","C","923.1","5","0","2","","","-1","","","10","","","","","","9.7","","","","","","","19.6","19352"
"J.T. Realmuto","PHI","C","973.0","1","-3","0","","","3","","","0","","","","","","8.6","","","","","","","16.9","11739"
"Michael A. Taylor","KCR","CF","1186.0","0","","","","5","2","12","","19","246","230",".935","121","","","5.1","","7.9","0.3","13.3","13.9","15.3","11489"
"Martin Maldonado","HOU","C","1010.2","-2","-4","2","","","1","","","-2","","","","","","1.3","","","","","","","12.0","6887"
"Kevin Newman","PIT","SS","1074.1","0","","","1","","-2","8","","7","224","174",".777","91","","","","0.4","-1.6","7.5","6.4","7.6","11.9","17696"
"Nicky Lopez","KCR","SS","1233.2","0","","","0","","2","1","","3","302","214",".709","116","","","","2.4","-0.8","3.6","5.2","4.6","11.5","19339"
"Will Smith","LAD","C","1004.2","8","-3","1","","","-1","","","5","","","","","","1.8","","","","","","","11.4","19197"
"Matt Chapman","OAK","3B","1314.2","0","","","1","","-1","9","","10","273","195",".714","56","","","","0.6","1.0","7.1","8.7","8.8","11.0","16505"
"Myles Straw","- - -","CF","1338.0","0","","","","-2","0","6","","4","300","281",".937","105","","","0.4","","6.8","1.4","8.6","8.5","10.9","17620"
"Miguel Rojas","MIA","SS","1073.0","0","","","3","","1","1","","5","197","155",".787","79","","","","1.6","3.1","0.1","4.8","7.3","10.3","7802"
"Trevor Story","COL","SS","1175.0","0","","","0","","0","9","","9","270","214",".793","88","","","","0.7","0.1","2.9","3.6","3.1","9.7","12564"
"Yadier Molina","STL","C","1001.1","-2","2","3","","","2","","","6","","","","","","-2.0","","","","","","","9.6","7007"
"Carlos Correa","HOU","SS","1304.2","0","","","-1","","3","18","","20","266","194",".729","156","","","","-1.0","3.4","0.5","2.9","3.1","9.6","14162"
"Brandon Crawford","SFG","SS","1165.2","0","","","-1","","0","7","","6","282","225",".798","88","","","","-0.8","1.0","2.4","2.6","3.4","8.6","5343"
"Marcus Semien","TOR","2B","1246.1","0","","","1","","-1","11","","11","223","174",".780","82","","","","1.0","3.9","1.5","6.3","6.6","8.5","12533"
"Willy Adames","- - -","SS","1150.0","0","","","1","","0","0","","1","280","212",".757","89","","","","-0.2","2.3","0.5","2.6","2.7","8.5","15986"
"Xander Bogaerts","BOS","SS","1169.0","0","","","2","","2","-9","","-5","298","216",".725","106","","","","1.1","-2.2","3.4","2.3","2.3","8.3","12161"
"Whit Merrifield","KCR","2B","1255.2","0","","","2","","2","10","","14","288","202",".701","101","","","","2.3","0.9","3.0","6.2","5.0","8.3","11281"
"Isiah Kiner-Falefa","TEX","SS","1360.0","0","","","0","","-2","12","","10","342","249",".728","152","","","","0.3","1.4","-0.6","1.2","1.1","8.2","16512"
"Dansby Swanson","ATL","SS","1372.0","0","","","1","","3","-11","","-7","319","248",".777","94","","","","0.1","0.8","0.2","1.1","1.5","8.1","18314"
"J.P. Crawford","SEA","SS","1412.1","0","","","3","","0","5","","8","282","205",".727","154","","","","1.8","-0.7","-0.3","0.8","0.2","8.1","15491"
"Yoan Moncada","CHW","3B","1182.1","0","","","1","","0","2","","3","275","200",".727","27","","","","1.1","2.1","2.9","6.0","5.0","8.1","17232"
"Nolan Arenado","STL","3B","1312.0","0","","","-1","","0","6","","6","299","222",".742","49","","","","-1.5","1.7","5.6","5.7","4.9","8.0","9777"
"Jose Ramirez","CLE","3B","1141.0","0","","","1","","0","9","","10","214","159",".743","43","","","","1.4","3.9","0.7","5.9","6.7","7.9","13510"
"Cesar Hernandez","- - -","2B","1227.0","0","","","1","","-3","-9","","-11","259","193",".745","55","","","","1.6","0.3","3.8","5.7","4.9","7.8","10556"
"Christian Vazquez","BOS","C","1051.1","0","1","0","","","3","","","5","","","","","","-1.2","","","","","","","7.8","9774"
