NAMES
Vladimir Guerrero Jr.
Bryce Harper
Marcus Semien
Juan Soto
Jose Ramirez
Fernando Tatis Jr.
Carlos Correa
Aaron Judge
Bryan Reynolds
Brandon Crawford
Starling Marte
Tyler O'Neill
Cedric Mullins II
Brandon Lowe
Xander Bogaerts
Jose Altuve
Shohei Ohtani
Matt Olson
Buster Posey
Paul Goldschmidt
Bo Bichette
Max Muncy
Kyle Tucker
Rafael Devers
Will Smith
Mike Zunino
Yoan Moncada
Freddie Freeman
J.T. Realmuto
Jake Cronenworth
Manny Machado
Nicky Lopez
Tim Anderson
Ronald Acuna Jr.
Austin Riley
Nick Castellanos
Ozzie Albies
Willy Adames
Nolan Arenado
Justin Turner
Enrique Hernandez
Jonathan India
Jorge Polanco
Teoscar Hernandez
Mookie Betts
Yasmani Grandal
Myles Straw
Corey Seager
Yordan Alvarez
Joey Votto
Javier Baez
Kris Bryant
Trevor Story
Joey Gallo
Ty France
Brandon Nimmo
Matt Chapman
Adam Frazier
Harrison Bader
Yuli Gurriel
Salvador Perez
Brandon Belt
Randy Arozarena
Sean Murphy
Whit Merrifield
Jesse Winker
Jeimer Candelario
Dansby Swanson
J.P. Crawford
Chris Taylor
Kyle Schwarber
Pete Alonso
Eduardo Escobar
A.J. Pollock
Kolten Wong
Avisail Garcia
Max Stassi
Ketel Marte
Jose Abreu
J.D. Martinez
Adolis Garcia
Mitch Haniger
Omar Narvaez
Miguel Rojas
Dylan Carlson
Jared Walsh
Tony Kemp
Amed Rosario
Robbie Grossman
Luis Urias
Francisco Lindor
Giancarlo Stanton
Joey Wendle
Mark Canha
Jacob Stallings
Ryan McMahon
Darin Ruf
Wander Franco
Kevin Kiermaier
Jean Segura
Kyle Seager
DJ LeMahieu
George Springer
Adam Duvall
Austin Hays
C.J. Cron
Tommy Edman
Rhys Hoskins
Isiah Kiner-Falefa
Patrick Wisdom
Mike Yastrzemski
Cesar Hernandez
Josh Donaldson
Jonathan Villar
Andrew Benintendi
Ramon Laureano
Michael Brantley
Willson Contreras
Trent Grisham
Josh Rojas
Alex Bregman
Austin Meadows
Alex Verdugo
Tyler Stephenson
Daulton Varsho
Nelson Cruz
Leury Garcia
Akil Baddoo
Chas McCormick
Michael A. Taylor
Max Kepler
Yandy Diaz
Hunter Renfroe
Luis Arraez
Austin Slater
Carson Kelly
Alcides Escobar
Gleyber Torres
Kyle Farmer
Rafael Ortega
Brendan Rodgers
Edmundo Sosa
Anthony Rizzo
Elias Diaz
Jazz Chisholm Jr.
LaMonte Wade Jr.
Yan Gomes
Paul DeJong
Nate Lowe
Freddy Galvis
Lourdes Gurriel Jr.
Josh Harrison
Ke'Bryan Hayes
Christian Yelich
Tommy Pham
Matt Duffy
Charlie Blackmon
Jonathan Schoop
Gary Sanchez
Ryan Mountcastle
Wil Myers
Brett Gardner
Tyler Naquin
Josh Bell
Manuel Margot
Franmil Reyes
Ian Happ
Wilmer Flores
Jesus Aguilar
Abraham Toro
Andrew McCutchen
Tucker Barnhart
Ben Gamel
Nick Solak
Donovan Solano
David Peralta
Elvis Andrus
Odubel Herrera
Seth Brown
Bradley Zimmer
Jose Iglesias
Eric Haase
Gavin Lux
Brad Miller
Yadier Molina
Gio Urshela
Tom Murphy
Aledmys Diaz
Ji-Man Choi
Eddie Rosario
Jed Lowrie
Jace Peterson
Michael Conforto
Corey Dickerson
Kevin Pillar
Bobby Dalbec
Trey Mancini
Anthony Santander
Jorge Alfaro
Rougned Odor
Ronald Torreyes
Jose Trevino
Joc Pederson
Eugenio Suarez
Guillermo Heredia
Yonathan Daza
Harold Castro
Christian Vazquez
Garrett Hampson
James McCann
Jeff McNeil
Miguel Sano
Randal Grichuk
Raimel Tapia
Starlin Castro
D.J. Stewart
Justin Upton
David Fletcher
Kevin Newman
Billy McKinney
Pavin Smith
Andrew Vaughn
Christian Walker
Jason Heyward
Luis Torrens
Dylan Moore
Martin Maldonado
Trevor Larnach
Alex Dickerson
Phil Gosselin
Austin Hedges
Asdrubal Cabrera
Niko Goodrum
Harold Ramirez
Didi Gregorius
Nick Ahmed
Eric Hosmer
Pedro Severino
Hunter Dozier
Jorge Soler
Rowdy Tellez
Alec Bohm
Colin Moran
Carlos Santana
Juan Lagares
Maikel Franco
Willi Castro
Andrelton Simmons
Dominic Smith
Victor Robles
Josh VanMeter
David Bote
Victor Caratini
Miguel Cabrera
Jake Bauers
Marwin Gonzalez
Jarred Kelenic
Jurickson Profar
Cody Bellinger
Jackie Bradley Jr.
Gregory Polanco
Trea Turner
